h,w,n_cameras,violation_score,total_violations,lat,lon,addresses,pred,true,log_violation_score,high_violations,low_severe,is_preventative,is_enforcement_gap,z_viol,z_pred,preventative_score,enforcement_gap_score
57,56,2,74.51605657991198,290680.0,41.92631,-87.66818,2443 N Ashland | 2432 N Ashland Ave,0.9859143646969096,0,4.324345303576544,False,False,False,True,0.5428136691365104,0.5290400199386519,0.013773649197858506,-0.013773649197858506
57,63,1,29.535055350553503,8004.0,41.9258,-87.6349,220 W Fullerton Ave,0.924121850085422,0,3.418875379365563,False,False,False,True,-0.28732762461814304,0.43082575962680064,-0.7181533842449437,0.7181533842449437
58,42,1,6.221374045801527,815.0,41.9317,-87.7379,4424 W Diversey Ave,0.3669614252569251,0,1.9770452458507268,False,False,False,True,-1.6092077891674401,-0.6314228391490618,-0.9777849500183783,0.9777849500183783
58,44,2,45.70991243698116,18596.0,41.931250000000006,-87.72614999999999,3911 W Diversey Ave | 2711 N Pulaski,1.334421274353259,0,3.8439563999025648,False,False,False,True,0.10238969111338682,1.0314079113214056,-0.9290182202080188,0.9290182202080188
59,32,4,14.852338093975051,23757.0,41.937645,-87.787125,3115 N Narragansett Ave | 6514 W Belmont Ave | 6443 W Belmont Ave,0.7427810594079549,0,2.7633170032596572,False,False,False,True,-0.888348226099162,0.12326295408260711,-1.011611180181769,1.011611180181769
59,41,1,12.804371002132196,48042.0,41.939,-87.7431,4620 W Belmont Ave,0.2791599529812,1,2.6249852812968033,False,False,False,True,-1.01517173681667,-0.837692236414354,-0.17747950040231597,0.17747950040231597
59,44,2,36.84438555670459,58123.0,41.939350000000005,-87.727,3230 N Milwaukee Ave | 4021 W Belmont Ave,1.2011873479357351,3,3.6334826348440097,False,False,False,True,-0.09057415998235675,0.8488134835495884,-0.9393876435319451,0.9393876435319451
59,45,2,12.830517820833368,23474.0,41.93915,-87.7227,3809 W Belmont Ave | 3810 W Belmont Ave,0.7880002161075574,1,2.6268775868291994,False,False,False,True,-1.013436857588946,0.20285298844451644,-1.2162898460334626,1.2162898460334626
59,56,2,36.23380927843287,64331.0,41.93855,-87.66865,3111 N Ashland Ave | 3130 N Ashland Ave,0.8522082043700547,0,3.617217200094358,False,False,False,True,-0.10548642673525165,0.3124733322643437,-0.41795975899959537,0.41795975899959537
60,24,3,147.69746989198134,405249.0,41.94473333333334,-87.8276,8043 W Addison St | 8006 W Addison St | 8020 W Forest Preserve Ave,0.2523588508354189,0,5.001913838472541,True,True,True,False,1.164013341401878,-0.9034839237402478,2.067497265142126,-2.067497265142126
61,29,1,32.44498051586565,7670.0,41.9454,-87.8002,6935 W Addison St | 6935 W Addison St,0.1466001139085808,0,3.5099017159977888,False,True,False,False,-0.2038740290462425,-1.1776150353180947,0.9737410062718522,-0.9737410062718522
61,34,1,8.096296296296297,1093.0,41.9473,-87.7765,3665 N Austin Ave,1.08760072298698,0,2.2078673302686584,False,False,False,True,-1.3975884535469674,0.6841954216386743,-2.081783875185642,2.081783875185642
61,42,1,29.53448275862069,17130.0,41.9466,-87.736,3601 N Milwaukee Ave,0.5169022270511827,0,3.4188566272364143,False,False,False,True,-0.2873448167040819,-0.3080375904071758,0.020692773703093914,-0.020692773703093914
61,51,1,66.46821094135042,134864.0,41.9466,-87.6905,2549 W Addison St,0.1541264193466287,0,4.211656537930135,False,True,False,False,0.43949980392244337,-1.157286705933326,1.5967865098557694,-1.5967865098557694
61,52,2,119.82893289854326,211993.0,41.9458,-87.68825000000001,3534 N Western Ave | 3521 N Western Ave,1.1111030191176607,0,4.794375767572125,True,False,False,False,0.9737409556782491,0.7189796921250217,0.2547612635532275,-0.2547612635532275
